Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD
2017-03-08 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.00082467834271312 72.3907186432756 100 0 0.75 0 -3.96775736859794e-11 NA 1.31461939982364e-11 NA 0.0153253478783202 100 63.6082383460141 63.560699 0
2017-03-09 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.000765772746805041 72.3907186432756 100 0 0.75 0 -3.24634693794377e-11 NA 1.0755976907648e-11 NA 0.0141899737701181 100 63.6063367721735 63.560699 0
2017-03-10 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.000711074693461823 72.3907186432756 100 0 0.75 0 -2.65610204013581e-11 NA 8.80034474262108e-12 NA 0.013138724065729 100 63.6045112612866 63.560699 0
2017-03-13 69.9179 0 0.100017795587805 0.100017795587805 0.100017795587805 0.100017795587805 0.100017795587805 0.100017795587805 0.100017795587805 0.100017795587805 0.100017795587805 0.100017795587805 0.454746069358215 99.6309411546126 100 5 1.58972473588518 0 -2.17317439647475e-11 100 0.0181850537504376 NA 0.170565219449553 100 63.560699 64.1964191 2.01032347035001
2017-03-14 76.910698 0 0.100014416908975 0.210035434003015 0.210035434003015 0.210035434003015 0.210035434003015 0.210035434003015 0.210035434003015 0.210035434003015 0.210035434003015 0.210035434003015 0.92174977868977 99.8975079385241 100 10 1.47942771079577 0 -1.77805177893389e-11 100 0.0330631197792625 NA 0.58623701662249 100 63.560699 65.531419 4.46963961597703
2017-03-15 84.6036 1 0.100023822433649 0.210042063620332 0.331067803392156 0.331067803392156 0.331067803392156 0.331067803392156 0.331067803392156 0.331067803392156 0.331067803392156 0.331067803392156 1.40540350878336 99.9559221080928 100 15 1.37058374511578 -686180194.33413 0.181818181803634 100 0.0452377929891509 0.10642295709301 1.31249924410636 100 64.09469896 67.6357091 7.41906768026506
2017-03-16 87.814301 1 0.0379499335725666 0.141769653423247 0.255963079554735 0.38158173811147 0.38158173811147 0.38158173811147 0.38158173811147 0.38158173811147 0.38158173811147 0.38158173811147 1.86266747244169 91.8095988493085 100 20 1.23196131336868 3.87776080994597 0.181031588954765 100 0.043912727640681 0.331253512209571 2.24861314097421 100 65.3252330224 70.0610693 9.58661816140595
2017-03-17 80.2714 1 -0.0858960432879834 -0.051205858852342 0.0436961578478978 0.148080820505192 0.26290933332876 0.26290933332876 0.26290933332876 0.26290933332876 0.26290933332876 0.26290933332876 2.356920081553 73.6045199094535 97.7945056740292 20 0.968598128854437 1.03299746466129 0.0205944129590168 52.5551536280578 0.0203111329263784 0.418282989216463 3.08337943006193 72.5595767510383 67.381214540608 71.7321394 9.78207269634092
2017-03-20 77.089302 1 -0.0396417403957076 -0.12213271503465 -0.0888177098846857 0.0023222257064941 0.102568898665435 0.212845409393626 0.212845409393626 0.212845409393626 0.212845409393626 0.212845409393626 2.54724007572778 56.2404643054583 94.5737175231098 20 0.806733422732925 0.375715544209093 -0.109619282795242 38.6767984231273 0.00941061050418096 0.47316287192002 3.73144894820446 64.5165128752108 69.2727175373594 73.0849997 9.4564790201534
2017-03-21 77.525002 1 0.00565188669110017 -0.034213904329562 -0.117171108610202 -0.0836678108260168 0.00798723735415852 0.108800493149823 0.219700274221339 0.219700274221339 0.219700274221339 0.219700274221339 2.58442257031866 44.1914795407827 91.5829856686846 20 0.777760876830527 0.20036767259931 -0.22540933417192 39.4312540575063 0.0087272061745299 0.492923665115731 4.22818605119178 65.0871638971367 71.0129002943706 74.48143 8.90895990873991
2017-03-22 81.599998 1 0.0525636361802351 0.058512606587098 0.0165513246311886 -0.0707664119537887 -0.0355020590140372 0.0609707117727627 0.167083078868215 0.283812155684443 0.283812155684443 0.283812155684443 2.87430660101018 39.7980107683529 89.0890973354132 20 0.79445396732536 0.44961715451973 -0.0440525433036049 45.6814893412765 0.0166974661755672 0.534303658713125 4.67975006191643 69.954082535661 72.613868430821 76.2853599 8.25426565718827
2017-03-23 73.485703 2 -0.0994398921431346 -0.0521031782753131 -0.0467457728440712 -0.0845344294480973 -0.163169299724882 -0.131411630237957 -0.0445321013729455 0.0510284633834825 0.156150013391137 0.156150013391137 3.30522012950945 30.6103778228542 85.8177894208895 20 0.672979053421943 0.508305431390886 -0.215966788422954 20.8492754076205 -0.00441841715510586 0.587773172013551 4.89490322415103 53.854938669004 73.485703 77.2778603 7.06530354111372
2017-03-24 73.721397 0 0.00320734497157904 -0.0965514852095952 -0.0490629461705787 -0.0436883576919662 -0.081598215553734 -0.160485294986292 -0.128625767697829 -0.0414675862127789 0.0543994742405021 0.159858185322978 3.29566169168735 22.1472994013071 82.4057633736769 20 0.585673367857745 0.146656323541975 -0.218471588007254 21.2392342143233 -0.00303191495025406 0.605395126262409 4.94464246183206 54.1847625334186 73.485703 78.2939301 5.41018140835689
2017-03-27 76.946404 1 0.0437458747560089 0.0470935278390139 -0.057029339633072 -0.00746337291290877 -0.00185366835984591 -0.0414219261156527 -0.123759989844934 -0.0905067396659244 0.000464252710331792 0.100525101583429 3.58525778513825 17.4962218188999 80.0545288009161 20 0.674661014822852 0.316866545564145 -0.230267043748022 26.2134345030489 0.00547313772361193 0.6709513484487 4.94558781516307 58.5503667347945 73.721397 78.9967805 4.59647842675055
